Day,Number of Vaccinations (Second Dose)
2021-04-08,81323.00
2021-04-10,136703.00
2021-04-11,165691.00
2021-04-12,138879.00
2021-04-13,210579.00
2021-04-15,196976.00
2021-04-17,221616.00
2021-04-18,214842.00
2021-04-19,140678.00
2021-04-20,170902.00
2021-04-21,137798.00
2021-04-22,151988.00
2021-04-24,187321.00
2021-04-25,171570.00
2021-04-26,131357.00
2021-04-27,120861.00
2021-04-28,119071.00
2021-04-29,107539.00
2021-05-02,130547.00
2021-05-03,86928.00
2021-05-04,83540.00
2021-05-05,103800.00
2021-05-06,102915.00
2021-05-08,88107.00
2021-05-09,94655.00
2021-05-11,97337.00
2021-05-12,57630.00
2021-05-16,48930.00
2021-05-17,56940.00
2021-05-18,64377.00
2021-05-19,55436.00
2021-05-20,53915.00
2021-05-22,41467.00
2021-05-23,43304.00
2021-05-24,34853.00
2021-05-25,33655.00
2021-05-27,37287.00
2021-05-29,20938.00
2021-05-30,19459.00
2021-05-31,12216.00
2021-06-01,12313.00
2021-06-02,7713.00
2021-06-03,9180.00
2021-06-05,6197.00
2021-06-06,7363.00
2021-06-07,6482.00
2021-06-08,5563.00
2021-06-09,5287.00
2021-06-10,6828.00
2021-06-12,4141.00
2021-06-13,5170.00
2021-06-14,3359.00
2021-06-15,3973.00
2021-06-16,3568.00
2021-06-17,3295.00
2021-06-19,2589.00
2021-06-20,3371.00
2021-06-21,3003.00
2021-06-22,3185.00
2021-06-23,2901.00
2021-06-24,2733.00
2021-06-26,2116.00
2021-06-27,2105.00
2021-06-28,1218.00
2021-06-29,1615.00
2021-06-30,2249.00
2021-07-01,703.00
2021-07-03,1051.00
2021-07-04,743.00
2021-07-05,893.00
2021-07-06,581.00
2021-07-07,651.00
2021-07-08,723.00
2021-07-10,356.00
2021-07-11,324.00
2021-07-12,355.00
2021-07-13,293.00
2021-07-14,212.00
2021-07-15,665.00
2021-07-17,708.00
2021-07-18,967.00
2021-07-19,733.00
2021-07-24,1432.00
2021-07-25,3194.00
2021-07-26,4478.00
2021-07-27,5355.00
2021-07-28,6529.00
2021-07-29,7157.00
2021-07-31,9902.00
2021-08-01,12281.00
2021-08-02,16262.00
2021-08-03,23855.00
2021-08-04,24347.00
2021-08-05,27386.00
2021-08-07,53798.00
2021-08-08,98476.00
2021-08-09,137220.00
2021-08-10,169132.00
2021-08-11,163772.00
2021-08-12,158366.00
2021-08-14,204034.00
2021-08-16,265935.00
2021-08-17,235916.00
2021-08-18,199344.00
2021-08-19,124862.00
2021-08-21,141064.00
2021-08-22,180007.00
2021-08-23,180742.00
2021-08-24,220102.00
2021-08-25,225647.00
2021-08-26,228253.00
2021-08-28,209712.00
2021-08-29,200240.00
2021-08-31,205300.00
2021-09-01,162910.00
2021-09-02,151252.00
2021-09-04,166678.00
2021-09-05,207873.00
2021-09-06,230818.00
2021-09-07,2708469.00
2021-09-08,853373.00
2021-09-09,672859.00
2021-09-10,8258.00
2021-09-11,347979.00
2021-09-12,236482.00
2021-09-13,164778.00
2021-09-14,112063.00
2021-09-15,142455.00
2021-09-16,178278.00
2021-09-18,204024.00
2021-09-19,225015.00
2021-09-20,205528.00
2021-09-21,236723.00
2021-09-22,255841.00
2021-09-23,262718.00
2021-09-25,252719.00
2021-09-26,278489.00
2021-09-27,187406.00
2021-09-28,133869.00
2021-09-29,148151.00
2021-09-30,138362.00
2021-10-02,113495.00
2021-10-03,138064.00
2021-10-04,141533.00
2021-10-05,153811.00
2021-10-06,154550.00
2021-10-07,173003.00
2021-10-09,145180.00
2021-10-10,190021.00
2021-10-11,163401.00
2021-10-12,161439.00
2021-10-13,139193.00
2021-10-14,158679.00
2021-10-16,172727.00
2021-10-17,241538.00
2021-10-18,233270.00
2021-10-19,231514.00
2021-10-21,362317.00
2021-10-23,270039.00
2021-10-24,329401.00
2021-10-25,267755.00
2021-10-26,247274.00
2021-10-27,222950.00
2021-10-28,5444166.00
2021-10-30,1912637.00
2021-10-31,548771.00
2021-11-01,327098.00
2021-11-02,332992.00
2021-11-03,310747.00
2021-11-04,312691.00
2021-11-06,349715.00
2021-11-07,417550.00
2021-11-08,339877.00
2021-11-09,341033.00
2021-11-10,296190.00
2021-11-11,274912.00
2021-11-12,742.00
2021-11-13,270573.00
2021-11-14,338715.00
2021-11-15,262303.00
2021-11-16,329464.00
2021-11-17,260185.00
2021-11-18,286828.00
2021-11-20,268632.00
2021-11-21,310792.00
2021-11-22,250489.00
2021-11-23,294210.00
2021-11-24,277973.00
2021-11-25,281447.00
2021-11-27,216578.00
2021-11-28,245770.00
2021-11-29,240524.00
2021-11-30,283416.00
2021-12-01,305262.00
2021-12-02,299495.00
2021-12-03,1899.00
2021-12-04,263673.00
2021-12-05,309062.00
2021-12-06,358964.00
2021-12-07,1161519.00
2021-12-08,1085963.00
2021-12-09,1312423.00
2021-12-11,709368.00
2021-12-12,486962.00
2021-12-13,355796.00
2021-12-14,570312.00
2021-12-15,565635.00
2021-12-18,927256.00
2021-12-19,89049.00
